Channel Name,date,videoId,titles,Comment
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,부모공감
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,하 머리아프다 저런아빠 힘든데ㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,좀 선넘? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,레전드.......편
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,아ㅋㅋㅋㅋㅋㅋㅋㅋ미쳨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,최고의 방어는 공격~~~ㅎㅎ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,너덜트 처음알았음/  나빼고 너네끼리보기있음?ㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,내여친이 아영이고  남친있는거 가족들에게 비밀이고 낼 계곡가는데
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,구독자 늘어나는 소리가 여기까지 들리네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,와 진짜 5분 순삭 되네요ㅎㅋ 영상도 3번 째 보는 중! 아니 근데 댓글말대로 수정님이 캐리긴 한데 그렇게 캐리한 걸 아버님한테 사실대로 말해버리는 것도 웃기네여 ㅋㅋㅋ 역시 너덜트!!  600만 조회수 대박이네영!
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,부모님한테 이게 알고리즘 타서 유튜브 보는 부모님이 봐버렸다 .. 외박 허락받느라 얘기했더니 이거처럼 그러는거 아니냐했다 .. ㅂㄷㅂㄷ… 솔직하게 말해도 이러는거 아니냐는…. 23년 유교걸 끝내고싶다ㅠㅠㅠㅠㅠㅠㅠ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,와 이거 팬되것어 ㅋ 우리 수정씨 급 발진할뻔했내유
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,아 ㅋㅋㅋ ㅈㄴ 웃겨 ㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,우와//// 너무  잼있어요.. 완전 신세계/
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,너덜트 중 가장 잼나게 봤네요~~
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,구라치시는거 아니죠?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,'인과응보'
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,개웃기네 수정님 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,마지막쇼파뒤에엄마나왔어야 레전드그리고 아영이한테저나하기ㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,최고다 ㅋㅋㅋㅋㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,개웃기네ㅋㅋㅋㅋ 개그는반복
